COD_MUN;NOM_MUN;TOTAL_PIX;SELECTED_PIX;PERCENTAGE_SELECTED;NUM_MULTI;NUM_UNI;NUM_EST_ALTO;NUM_EST_MEDIO;NUM_EST_BAJO
28002;Ajalvir;31564;140;0.44;44;96;22;116;2;
28005;Alcala  de Henares;141332;1536;1.09;457;1079;319;985;232;
28012;Anchuelo;34768;0;0;0;0;0;0;0;
28032;Camarma de Esteruelas;56296;122;0.22;27;95;36;85;1;
28049;Coslada;19304;277;1.43;97;180;59;145;73;
28053;Daganzo de Arriba;68940;52;0.08;20;32;6;41;5;
28057;Fresno de Torote;50796;22;0.04;4;18;6;16;0;
28075;Loeches;70896;347;0.49;115;232;52;289;6;
28083;Meco;55888;148;0.26;56;92;32;77;39;
28084;Mejorada del Campo;28708;253;0.88;61;192;68;180;5;
28104;Paracuellos de Jarama;70108;835;1.19;225;610;158;665;12;
28130;San Fernando de Henares;62072;847;1.36;269;578;140;644;63;
28136;Santorcaz;45184;39;0.09;15;24;5;33;1;
28137;Santos de la Humosa, Los;55876;109;0.2;23;86;17;92;0;
28148;Torrejon de Ardoz;51936;1425;2.74;373;1052;382;999;44;
28154;Torres de la Alameda;69520;249;0.36;70;179;62;179;8;
28156;Valdeavero;29956;1;0;0;1;0;1;0;
28172;Villalbilla;55264;598;1.08;144;454;136;453;9;
