COD_MUN;NOM_MUN;TOTAL_PIX;SELECTED_PIX;PERCENTAGE_SELECTED;NUM_MULTI;NUM_UNI;NUM_EST_ALTO;NUM_EST_MEDIO;NUM_EST_BAJO
28002;Ajalvir;31564;158;0.5;30;128;32;123;3;
28005;Alcala  de Henares;141332;1531;1.08;308;1223;410;1025;96;
28012;Anchuelo;34768;0;0;0;0;0;0;0;
28032;Camarma de Esteruelas;56296;108;0.19;18;90;25;82;1;
28049;Coslada;19304;276;1.43;53;223;78;178;20;
28053;Daganzo de Arriba;68940;54;0.08;9;45;9;43;2;
28057;Fresno de Torote;50796;26;0.05;6;20;3;23;0;
28075;Loeches;70896;321;0.45;51;270;83;232;6;
28083;Meco;55888;147;0.26;28;119;22;105;20;
28084;Mejorada del Campo;28708;269;0.94;41;228;70;191;8;
28104;Paracuellos de Jarama;70108;860;1.23;148;712;225;618;17;
28130;San Fernando de Henares;62072;999;1.61;164;835;236;744;19;
28136;Santorcaz;45184;35;0.08;8;27;5;29;1;
28137;Santos de la Humosa, Los;55876;117;0.21;18;99;29;86;2;
28148;Torrejon de Ardoz;51936;1298;2.5;246;1052;342;923;33;
28154;Torres de la Alameda;69520;211;0.3;34;177;40;165;6;
28156;Valdeavero;29956;3;0.01;0;3;2;1;0;
28172;Villalbilla;55264;587;1.06;88;499;139;432;16;
