COD_MUN;NOM_MUN;TOTAL_PIX;SELECTED_PIX;PERCENTAGE_SELECTED;NUM_MULTI;NUM_UNI;NUM_EST_ALTO;NUM_EST_MEDIO;NUM_EST_BAJO
28002;Ajalvir;31564;139;0.44;51;88;23;104;12;
28005;Alcala  de Henares;141332;1588;1.12;479;1109;334;1107;147;
28012;Anchuelo;34768;0;0;0;0;0;0;0;
28032;Camarma de Esteruelas;56296;112;0.2;34;78;24;79;9;
28049;Coslada;19304;267;1.38;81;186;75;161;31;
28053;Daganzo de Arriba;68940;51;0.07;19;32;7;42;2;
28057;Fresno de Torote;50796;23;0.05;6;17;8;14;1;
28075;Loeches;70896;351;0.5;90;261;62;268;21;
28083;Meco;55888;161;0.29;72;89;20;126;15;
28084;Mejorada del Campo;28708;234;0.82;74;160;58;161;15;
28104;Paracuellos de Jarama;70108;819;1.17;208;611;173;594;52;
28130;San Fernando de Henares;62072;984;1.59;279;705;202;728;54;
28136;Santorcaz;45184;43;0.1;15;28;9;33;1;
28137;Santos de la Humosa, Los;55876;111;0.2;24;87;26;79;6;
28148;Torrejon de Ardoz;51936;1267;2.44;354;913;279;898;90;
28154;Torres de la Alameda;69520;227;0.33;52;175;57;153;17;
28156;Valdeavero;29956;2;0.01;0;2;1;1;0;
28172;Villalbilla;55264;621;1.12;162;459;142;452;27;
