COD_MUN;NOM_MUN;TOTAL_PIX;SELECTED_PIX;PERCENTAGE_SELECTED;NUM_MULTI;NUM_UNI;NUM_EST_ALTO;NUM_EST_MEDIO;NUM_EST_BAJO
28002;Ajalvir;31564;155;0.49;131;24;4;105;46;
28005;Alcala  de Henares;141332;1724;1.22;1185;539;216;1108;400;
28012;Anchuelo;34768;0;0;0;0;0;0;0;
28032;Camarma de Esteruelas;56296;58;0.1;33;25;8;44;6;
28049;Coslada;19304;524;2.71;346;178;53;337;134;
28053;Daganzo de Arriba;68940;7;0.01;4;3;0;5;2;
28057;Fresno de Torote;50796;21;0.04;14;7;7;14;0;
28075;Loeches;70896;260;0.37;156;104;27;207;26;
28083;Meco;55888;210;0.38;141;69;26;113;71;
28084;Mejorada del Campo;28708;314;1.09;193;121;53;238;23;
28104;Paracuellos de Jarama;70108;663;0.95;411;252;114;527;22;
28130;San Fernando de Henares;62072;527;0.85;347;180;47;401;79;
28136;Santorcaz;45184;29;0.06;16;13;4;22;3;
28137;Santos de la Humosa, Los;55876;121;0.22;82;39;16;98;7;
28148;Torrejon de Ardoz;51936;1551;2.99;940;611;264;1155;132;
28154;Torres de la Alameda;69520;297;0.43;181;116;38;244;15;
28156;Valdeavero;29956;1;0;0;1;0;1;0;
28172;Villalbilla;55264;538;0.97;320;218;123;381;34;
