COD_MUN;NOM_MUN;TOTAL_PIX;SELECTED_PIX;PERCENTAGE_SELECTED;NUM_MULTI;NUM_UNI;NUM_EST_ALTO;NUM_EST_MEDIO;NUM_EST_BAJO
28002;Ajalvir;31564;85;0.27;24;61;19;66;0;
28005;Alcala  de Henares;141332;1461;1.03;359;1102;369;953;139;
28012;Anchuelo;34768;0;0;0;0;0;0;0;
28032;Camarma de Esteruelas;56296;48;0.09;5;43;15;33;0;
28049;Coslada;19304;478;2.48;121;357;87;324;67;
28053;Daganzo de Arriba;68940;7;0.01;1;6;0;7;0;
28057;Fresno de Torote;50796;21;0.04;3;18;5;16;0;
28075;Loeches;70896;270;0.38;46;224;53;216;1;
28083;Meco;55888;208;0.37;47;161;32;147;29;
28084;Mejorada del Campo;28708;322;1.12;52;270;86;236;0;
28104;Paracuellos de Jarama;70108;786;1.12;109;677;236;549;1;
28130;San Fernando de Henares;62072;585;0.94;99;486;162;419;4;
28136;Santorcaz;45184;21;0.05;5;16;5;16;0;
28137;Santos de la Humosa, Los;55876;146;0.26;23;123;32;114;0;
28148;Torrejon de Ardoz;51936;1662;3.2;213;1449;417;1239;6;
28154;Torres de la Alameda;69520;299;0.43;40;259;71;225;3;
28156;Valdeavero;29956;3;0.01;1;2;0;3;0;
28172;Villalbilla;55264;598;1.08;102;496;161;437;0;
