COD_MUN;NOM_MUN;TOTAL_PIX;SELECTED_PIX;PERCENTAGE_SELECTED;NUM_MULTI;NUM_UNI;NUM_EST_ALTO;NUM_EST_MEDIO;NUM_EST_BAJO
28002;Ajalvir;31564;136;0.43;51;85;17;115;4;
28005;Alcala  de Henares;141332;1468;1.04;452;1016;284;954;230;
28012;Anchuelo;34768;0;0;0;0;0;0;0;
28032;Camarma de Esteruelas;56296;111;0.2;28;83;28;80;3;
28049;Coslada;19304;263;1.36;94;169;58;148;57;
28053;Daganzo de Arriba;68940;62;0.09;20;42;7;53;2;
28057;Fresno de Torote;50796;16;0.03;2;14;4;12;0;
28075;Loeches;70896;348;0.49;122;226;32;305;11;
28083;Meco;55888;172;0.31;57;115;40;94;38;
28084;Mejorada del Campo;28708;261;0.91;46;215;78;180;3;
28104;Paracuellos de Jarama;70108;864;1.23;275;589;180;666;18;
28130;San Fernando de Henares;62072;826;1.33;258;568;151;611;64;
28136;Santorcaz;45184;30;0.07;14;16;5;21;4;
28137;Santos de la Humosa, Los;55876;119;0.21;38;81;17;99;3;
28148;Torrejon de Ardoz;51936;1475;2.84;344;1131;393;1032;50;
28154;Torres de la Alameda;69520;233;0.34;51;182;70;157;6;
28156;Valdeavero;29956;2;0.01;1;1;0;2;0;
28172;Villalbilla;55264;614;1.11;147;467;136;471;7;
