COD_MUN;NOM_MUN;TOTAL_PIX;SELECTED_PIX;PERCENTAGE_SELECTED;NUM_MULTI;NUM_UNI;NUM_EST_ALTO;NUM_EST_MEDIO;NUM_EST_BAJO
28002;Ajalvir;31564;125;0.4;92;33;12;101;12;
28005;Alcala  de Henares;141332;1628;1.15;941;687;354;945;329;
28012;Anchuelo;34768;0;0;0;0;0;0;0;
28032;Camarma de Esteruelas;56296;61;0.11;28;33;15;43;3;
28049;Coslada;19304;496;2.57;289;207;93;291;112;
28053;Daganzo de Arriba;68940;7;0.01;4;3;0;6;1;
28057;Fresno de Torote;50796;26;0.05;11;15;11;15;0;
28075;Loeches;70896;268;0.38;129;139;65;187;16;
28083;Meco;55888;198;0.35;104;94;32;93;73;
28084;Mejorada del Campo;28708;307;1.07;154;153;84;205;18;
28104;Paracuellos de Jarama;70108;696;0.99;301;395;227;447;22;
28130;San Fernando de Henares;62072;526;0.85;286;240;119;367;40;
28136;Santorcaz;45184;27;0.06;12;15;9;18;0;
28137;Santos de la Humosa, Los;55876;131;0.23;59;72;33;93;5;
28148;Torrejon de Ardoz;51936;1599;3.08;675;924;428;1096;75;
28154;Torres de la Alameda;69520;321;0.46;155;166;77;231;13;
28156;Valdeavero;29956;2;0.01;1;1;0;2;0;
28172;Villalbilla;55264;582;1.05;259;323;191;360;31;
