COD_MUN;NOM_MUN;TOTAL_PIX;SELECTED_PIX;PERCENTAGE_SELECTED;NUM_MULTI;NUM_UNI;NUM_EST_ALTO;NUM_EST_MEDIO;NUM_EST_BAJO
28002;Ajalvir;31564;120;0.38;100;20;11;71;38;
28005;Alcala  de Henares;141332;1754;1.24;1237;517;239;1127;388;
28012;Anchuelo;34768;0;0;0;0;0;0;0;
28032;Camarma de Esteruelas;56296;42;0.07;28;14;5;30;7;
28049;Coslada;19304;502;2.6;354;148;41;329;132;
28053;Daganzo de Arriba;68940;4;0.01;3;1;1;3;0;
28057;Fresno de Torote;50796;28;0.06;14;14;4;23;1;
28075;Loeches;70896;264;0.37;164;100;25;221;18;
28083;Meco;55888;191;0.34;129;62;15;120;56;
28084;Mejorada del Campo;28708;320;1.11;206;114;54;246;20;
28104;Paracuellos de Jarama;70108;653;0.93;384;269;118;503;32;
28130;San Fernando de Henares;62072;467;0.75;334;133;49;342;76;
28136;Santorcaz;45184;13;0.03;9;4;1;12;0;
28137;Santos de la Humosa, Los;55876;125;0.22;76;49;12;106;7;
28148;Torrejon de Ardoz;51936;1638;3.15;949;689;269;1222;147;
28154;Torres de la Alameda;69520;306;0.44;184;122;44;235;27;
28156;Valdeavero;29956;2;0.01;2;0;0;1;1;
28172;Villalbilla;55264;571;1.03;327;244;112;409;50;
