COD_MUN;NOM_MUN;TOTAL_PIX;SELECTED_PIX;PERCENTAGE_SELECTED;NUM_MULTI;NUM_UNI;NUM_EST_ALTO;NUM_EST_MEDIO;NUM_EST_BAJO
28002;Ajalvir;31564;125;0.4;18;107;21;104;0;
28005;Alcala  de Henares;141332;1427;1.01;312;1115;342;945;140;
28012;Anchuelo;34768;0;0;0;0;0;0;0;
28032;Camarma de Esteruelas;56296;105;0.19;7;98;26;79;0;
28049;Coslada;19304;266;1.38;89;177;63;148;55;
28053;Daganzo de Arriba;68940;53;0.08;13;40;11;42;0;
28057;Fresno de Torote;50796;25;0.05;3;22;4;21;0;
28075;Loeches;70896;338;0.48;83;255;49;288;1;
28083;Meco;55888;166;0.3;36;130;34;112;20;
28084;Mejorada del Campo;28708;269;0.94;26;243;77;192;0;
28104;Paracuellos de Jarama;70108;843;1.2;130;713;208;635;0;
28130;San Fernando de Henares;62072;851;1.37;129;722;244;587;20;
28136;Santorcaz;45184;31;0.07;7;24;4;27;0;
28137;Santos de la Humosa, Los;55876;124;0.22;34;90;19;105;0;
28148;Torrejon de Ardoz;51936;1479;2.85;229;1250;419;1046;14;
28154;Torres de la Alameda;69520;254;0.37;30;224;67;187;0;
28156;Valdeavero;29956;0;0;0;0;0;0;0;
28172;Villalbilla;55264;644;1.17;104;540;162;482;0;
