COD_MUN;NOM_MUN;TOTAL_PIX;SELECTED_PIX;PERCENTAGE_SELECTED;NUM_MULTI;NUM_UNI;NUM_EST_ALTO;NUM_EST_MEDIO;NUM_EST_BAJO
28002;Ajalvir;31564;185;0.59;45;140;25;147;13;
28005;Alcala  de Henares;141332;1483;1.05;429;1054;332;1012;139;
28012;Anchuelo;34768;0;0;0;0;0;0;0;
28032;Camarma de Esteruelas;56296;99;0.18;27;72;18;77;4;
28049;Coslada;19304;257;1.33;79;178;59;166;32;
28053;Daganzo de Arriba;68940;59;0.09;22;37;10;45;4;
28057;Fresno de Torote;50796;23;0.05;9;14;7;15;1;
28075;Loeches;70896;329;0.46;91;238;64;245;20;
28083;Meco;55888;194;0.35;105;89;19;148;27;
28084;Mejorada del Campo;28708;255;0.89;70;185;58;180;17;
28104;Paracuellos de Jarama;70108;846;1.21;242;604;168;626;52;
28130;San Fernando de Henares;62072;820;1.32;238;582;153;617;50;
28136;Santorcaz;45184;34;0.08;14;20;9;22;3;
28137;Santos de la Humosa, Los;55876;94;0.17;26;68;13;77;4;
28148;Torrejon de Ardoz;51936;1460;2.81;397;1063;356;1015;89;
28154;Torres de la Alameda;69520;257;0.37;74;183;78;163;16;
28156;Valdeavero;29956;3;0.01;0;3;1;2;0;
28172;Villalbilla;55264;602;1.09;132;470;130;443;29;
