COD_MUN;NOM_MUN;TOTAL_PIX;SELECTED_PIX;PERCENTAGE_SELECTED;NUM_MULTI;NUM_UNI;NUM_EST_ALTO;NUM_EST_MEDIO;NUM_EST_BAJO
28002;Ajalvir;31564;106;0.34;47;59;35;60;11;
28005;Alcala  de Henares;141332;1653;1.17;990;663;350;993;310;
28012;Anchuelo;34768;0;0;0;0;0;0;0;
28032;Camarma de Esteruelas;56296;52;0.09;25;27;19;30;3;
28049;Coslada;19304;540;2.8;328;212;103;329;108;
28053;Daganzo de Arriba;68940;11;0.02;3;8;4;4;3;
28057;Fresno de Torote;50796;27;0.05;11;16;9;17;1;
28075;Loeches;70896;222;0.31;90;132;47;164;11;
28083;Meco;55888;178;0.32;112;66;8;118;52;
28084;Mejorada del Campo;28708;353;1.23;161;192;99;243;11;
28104;Paracuellos de Jarama;70108;672;0.96;310;362;195;442;35;
28130;San Fernando de Henares;62072;483;0.78;247;236;99;338;46;
28136;Santorcaz;45184;11;0.02;4;7;4;6;1;
28137;Santos de la Humosa, Los;55876;134;0.24;48;86;44;84;6;
28148;Torrejon de Ardoz;51936;1681;3.24;739;942;482;1097;102;
28154;Torres de la Alameda;69520;313;0.45;144;169;98;196;19;
28156;Valdeavero;29956;1;0;0;1;0;1;0;
28172;Villalbilla;55264;563;1.02;241;322;154;378;31;
