COD_MUN;NOM_MUN;TOTAL_PIX;SELECTED_PIX;PERCENTAGE_SELECTED;NUM_MULTI;NUM_UNI;NUM_EST_ALTO;NUM_EST_MEDIO;NUM_EST_BAJO
28002;Ajalvir;31564;96;0.3;44;52;7;83;6;
28005;Alcala  de Henares;141332;1699;1.2;533;1166;339;1135;225;
28012;Anchuelo;34768;0;0;0;0;0;0;0;
28032;Camarma de Esteruelas;56296;74;0.13;14;60;17;54;3;
28049;Coslada;19304;461;2.39;169;292;63;318;80;
28053;Daganzo de Arriba;68940;25;0.04;2;23;1;24;0;
28057;Fresno de Torote;50796;22;0.04;6;16;7;14;1;
28075;Loeches;70896;250;0.35;65;185;35;208;7;
28083;Meco;55888;201;0.36;73;128;32;121;48;
28084;Mejorada del Campo;28708;307;1.07;81;226;82;218;7;
28104;Paracuellos de Jarama;70108;766;1.09;215;551;188;566;12;
28130;San Fernando de Henares;62072;642;1.03;170;472;97;505;40;
28136;Santorcaz;45184;20;0.04;5;15;5;13;2;
28137;Santos de la Humosa, Los;55876;121;0.22;46;75;20;98;3;
28148;Torrejon de Ardoz;51936;1457;2.81;355;1102;373;1043;41;
28154;Torres de la Alameda;69520;259;0.37;76;183;64;185;10;
28156;Valdeavero;29956;4;0.01;2;2;0;4;0;
28172;Villalbilla;55264;596;1.08;144;452;170;411;15;
