COD_MUN;NOM_MUN;TOTAL_PIX;SELECTED_PIX;PERCENTAGE_SELECTED;NUM_MULTI;NUM_UNI;NUM_EST_ALTO;NUM_EST_MEDIO;NUM_EST_BAJO
28002;Ajalvir;31564;85;0.27;27;58;8;71;6;
28005;Alcala  de Henares;141332;1688;1.19;584;1104;328;1121;239;
28012;Anchuelo;34768;0;0;0;0;0;0;0;
28032;Camarma de Esteruelas;56296;60;0.11;9;51;17;41;2;
28049;Coslada;19304;489;2.53;182;307;78;323;88;
28053;Daganzo de Arriba;68940;14;0.02;1;13;1;13;0;
28057;Fresno de Torote;50796;15;0.03;1;14;4;11;0;
28075;Loeches;70896;253;0.36;67;186;47;199;7;
28083;Meco;55888;206;0.37;63;143;23;147;36;
28084;Mejorada del Campo;28708;258;0.9;71;187;67;187;4;
28104;Paracuellos de Jarama;70108;775;1.11;205;570;207;559;9;
28130;San Fernando de Henares;62072;618;1;174;444;108;467;43;
28136;Santorcaz;45184;18;0.04;3;15;3;15;0;
28137;Santos de la Humosa, Los;55876;118;0.21;43;75;26;90;2;
28148;Torrejon de Ardoz;51936;1592;3.07;378;1214;391;1153;48;
28154;Torres de la Alameda;69520;262;0.38;72;190;53;205;4;
28156;Valdeavero;29956;1;0;1;0;0;1;0;
28172;Villalbilla;55264;548;0.99;119;429;139;397;12;
