COD_MUN;NOM_MUN;TOTAL_PIX;SELECTED_PIX;PERCENTAGE_SELECTED;NUM_MULTI;NUM_UNI;NUM_EST_ALTO;NUM_EST_MEDIO;NUM_EST_BAJO
28002;Ajalvir;31564;159;0.5;105;54;19;121;19;
28005;Alcala  de Henares;141332;1528;1.08;959;569;270;1019;239;
28012;Anchuelo;34768;0;0;0;0;0;0;0;
28032;Camarma de Esteruelas;56296;92;0.16;56;36;11;71;10;
28049;Coslada;19304;245;1.27;146;99;53;147;45;
28053;Daganzo de Arriba;68940;51;0.07;36;15;6;31;14;
28057;Fresno de Torote;50796;22;0.04;11;11;6;13;3;
28075;Loeches;70896;356;0.5;235;121;23;285;48;
28083;Meco;55888;163;0.29;107;56;22;113;28;
28084;Mejorada del Campo;28708;232;0.81;151;81;63;142;27;
28104;Paracuellos de Jarama;70108;860;1.23;570;290;92;645;123;
28130;San Fernando de Henares;62072;1025;1.65;665;360;84;800;141;
28136;Santorcaz;45184;36;0.08;23;13;2;25;9;
28137;Santos de la Humosa, Los;55876;107;0.19;68;39;5;87;15;
28148;Torrejon de Ardoz;51936;1283;2.47;824;459;216;895;172;
28154;Torres de la Alameda;69520;236;0.34;147;89;32;166;38;
28156;Valdeavero;29956;1;0;1;0;0;1;0;
28172;Villalbilla;55264;604;1.09;396;208;96;439;69;
