COD_MUN;NOM_MUN;TOTAL_PIX;SELECTED_PIX;PERCENTAGE_SELECTED;NUM_MULTI;NUM_UNI;NUM_EST_ALTO;NUM_EST_MEDIO;NUM_EST_BAJO
28002;Ajalvir;31564;160;0.51;111;49;6;126;28;
28005;Alcala  de Henares;141332;1482;1.05;925;557;216;1027;239;
28012;Anchuelo;34768;0;0;0;0;0;0;0;
28032;Camarma de Esteruelas;56296;122;0.22;83;39;19;87;16;
28049;Coslada;19304;273;1.41;180;93;50;171;52;
28053;Daganzo de Arriba;68940;57;0.08;33;24;4;47;6;
28057;Fresno de Torote;50796;24;0.05;19;5;2;16;6;
28075;Loeches;70896;344;0.49;220;124;32;267;45;
28083;Meco;55888;178;0.32;134;44;15;143;20;
28084;Mejorada del Campo;28708;238;0.83;149;89;54;152;32;
28104;Paracuellos de Jarama;70108;801;1.14;508;293;119;580;102;
28130;San Fernando de Henares;62072;856;1.38;561;295;90;638;128;
28136;Santorcaz;45184;32;0.07;19;13;3;28;1;
28137;Santos de la Humosa, Los;55876;112;0.2;70;42;8;86;18;
28148;Torrejon de Ardoz;51936;1454;2.8;920;534;244;1026;184;
28154;Torres de la Alameda;69520;248;0.36;166;82;39;178;31;
28156;Valdeavero;29956;0;0;0;0;0;0;0;
28172;Villalbilla;55264;619;1.12;402;217;99;428;92;
