COD_MUN;NOM_MUN;TOTAL_PIX;SELECTED_PIX;PERCENTAGE_SELECTED;NUM_MULTI;NUM_UNI;NUM_EST_ALTO;NUM_EST_MEDIO;NUM_EST_BAJO
28002;Ajalvir;31564;86;0.27;24;62;12;71;3;
28005;Alcala  de Henares;141332;1643;1.16;605;1038;279;1104;260;
28012;Anchuelo;34768;0;0;0;0;0;0;0;
28032;Camarma de Esteruelas;56296;66;0.12;6;60;27;39;0;
28049;Coslada;19304;497;2.57;193;304;57;344;96;
28053;Daganzo de Arriba;68940;6;0.01;1;5;1;5;0;
28057;Fresno de Torote;50796;19;0.04;3;16;7;12;0;
28075;Loeches;70896;269;0.38;64;205;48;218;3;
28083;Meco;55888;197;0.35;65;132;26;133;38;
28084;Mejorada del Campo;28708;316;1.1;74;242;89;224;3;
28104;Paracuellos de Jarama;70108;757;1.08;203;554;200;543;14;
28130;San Fernando de Henares;62072;516;0.83;149;367;111;390;15;
28136;Santorcaz;45184;18;0.04;4;14;2;16;0;
28137;Santos de la Humosa, Los;55876;133;0.24;46;87;16;112;5;
28148;Torrejon de Ardoz;51936;1663;3.2;375;1288;412;1206;45;
28154;Torres de la Alameda;69520;252;0.36;66;186;55;192;5;
28156;Valdeavero;29956;1;0;0;1;0;1;0;
28172;Villalbilla;55264;561;1.02;122;439;158;390;13;
