COD_MUN;NOM_MUN;TOTAL_PIX;SELECTED_PIX;PERCENTAGE_SELECTED;NUM_MULTI;NUM_UNI;NUM_EST_ALTO;NUM_EST_MEDIO;NUM_EST_BAJO
28002;Ajalvir;31564;137;0.43;72;65;28;102;7;
28005;Alcala  de Henares;141332;1549;1.1;884;665;366;831;352;
28012;Anchuelo;34768;0;0;0;0;0;0;0;
28032;Camarma de Esteruelas;56296;119;0.21;51;68;32;84;3;
28049;Coslada;19304;300;1.55;202;98;61;131;108;
28053;Daganzo de Arriba;68940;48;0.07;22;26;7;38;3;
28057;Fresno de Torote;50796;22;0.04;10;12;5;17;0;
28075;Loeches;70896;334;0.47;163;171;72;246;16;
28083;Meco;55888;155;0.28;96;59;35;75;45;
28084;Mejorada del Campo;28708;256;0.89;117;139;68;183;5;
28104;Paracuellos de Jarama;70108;812;1.16;372;440;205;584;23;
28130;San Fernando de Henares;62072;806;1.3;404;402;223;490;93;
28136;Santorcaz;45184;30;0.07;17;13;5;25;0;
28137;Santos de la Humosa, Los;55876;112;0.2;55;57;22;85;5;
28148;Torrejon de Ardoz;51936;1488;2.87;680;808;395;1030;63;
28154;Torres de la Alameda;69520;227;0.33;81;146;62;162;3;
28156;Valdeavero;29956;1;0;1;0;0;1;0;
28172;Villalbilla;55264;604;1.09;273;331;164;416;24;
