COD_MUN;NOM_MUN;TOTAL_PIX;SELECTED_PIX;PERCENTAGE_SELECTED;NUM_MULTI;NUM_UNI;NUM_EST_ALTO;NUM_EST_MEDIO;NUM_EST_BAJO
28002;Ajalvir;31564;155;0.49;106;49;9;133;13;
28005;Alcala  de Henares;141332;1587;1.12;1086;501;242;939;406;
28012;Anchuelo;34768;0;0;0;0;0;0;0;
28032;Camarma de Esteruelas;56296;100;0.18;63;37;14;82;4;
28049;Coslada;19304;266;1.38;190;76;32;126;108;
28053;Daganzo de Arriba;68940;58;0.08;42;16;2;48;8;
28057;Fresno de Torote;50796;17;0.03;6;11;3;13;1;
28075;Loeches;70896;330;0.47;212;118;24;284;22;
28083;Meco;55888;174;0.31;121;53;16;94;64;
28084;Mejorada del Campo;28708;237;0.83;139;98;47;173;17;
28104;Paracuellos de Jarama;70108;840;1.2;533;307;119;668;53;
28130;San Fernando de Henares;62072;849;1.37;583;266;92;631;126;
28136;Santorcaz;45184;32;0.07;21;11;1;30;1;
28137;Santos de la Humosa, Los;55876;111;0.2;69;42;6;99;6;
28148;Torrejon de Ardoz;51936;1433;2.76;873;560;248;1060;125;
28154;Torres de la Alameda;69520;254;0.37;139;115;43;193;18;
28156;Valdeavero;29956;4;0.01;2;2;0;4;0;
28172;Villalbilla;55264;553;1;315;238;102;423;28;
